Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest\java\org\wso2,1,13,8,6,0,2,0,3,6,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest\java\org\wso2\emm,1,13,8,6,0,2,0,3,6,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest\java\org\wso2\emm\system,1,13,8,6,0,2,0,3,6,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest\java\org\wso2\emm\system\service,1,13,8,6,0,2,0,3,6,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main,7,1227,847,672,98,169,0,211,1322,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java,7,1227,847,672,98,169,0,211,1322,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org,7,1227,847,672,98,169,0,211,1322,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2,7,1227,847,672,98,169,0,211,1322,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm,7,1227,847,672,98,169,0,211,1322,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system,7,1227,847,672,98,169,0,211,1322,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service,7,1227,847,672,98,169,0,211,1322,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\api,5,976,696,557,83,141,0,139,922,85,545
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\main\java\org\wso2\emm\system\service\utils,1,52,23,20,0,6,0,23,127,17,109
